region_id,native_cell_count,longitude_mean,latitude_mean,longitude_min_native,longitude_max_native,latitude_min_native,latitude_max_native,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,region_center_lon,region_center_lat,corrected_aet_records,small_region_lt_4_cells,very_small_region_lt_2_cells
MYS_01_22,1,110.75,1.25,110.75,110.75,1.25,1.25,22,1,110.5,111.0,1.0,1.5,110.75,1.25,0,True,True
MYS_01_23,1,111.25,1.25,111.25,111.25,1.25,1.25,23,1,111.0,111.5,1.0,1.5,111.25,1.25,0,True,True
MYS_01_24,1,111.75,1.25,111.75,111.75,1.25,1.25,24,1,111.5,112.0,1.0,1.5,111.75,1.25,0,True,True
MYS_01_25,1,112.25,1.25,112.25,112.25,1.25,1.25,25,1,112.0,112.5,1.0,1.5,112.25,1.25,0,True,True
MYS_01_26,1,112.75,1.25,112.75,112.75,1.25,1.25,26,1,112.5,113.0,1.0,1.5,112.75,1.25,0,True,True
MYS_01_27,1,113.25,1.25,113.25,113.25,1.25,1.25,27,1,113.0,113.5,1.0,1.5,113.25,1.25,0,True,True
MYS_01_28,1,113.75,1.25,113.75,113.75,1.25,1.25,28,1,113.5,114.0,1.0,1.5,113.75,1.25,0,True,True
MYS_01_29,1,114.25,1.25,114.25,114.25,1.25,1.25,29,1,114.0,114.5,1.0,1.5,114.25,1.25,0,True,True
MYS_01_30,1,114.75,1.25,114.75,114.75,1.25,1.25,30,1,114.5,115.0,1.0,1.5,114.75,1.25,0,True,True
MYS_00_21,1,110.25,0.75,110.25,110.25,0.75,0.75,21,0,110.0,110.5,0.5,1.0,110.25,0.75,0,True,True
MYS_00_22,1,110.75,0.75,110.75,110.75,0.75,0.75,22,0,110.5,111.0,0.5,1.0,110.75,0.75,0,True,True
MYS_00_24,1,111.75,0.75,111.75,111.75,0.75,0.75,24,0,111.5,112.0,0.5,1.0,111.75,0.75,0,True,True
