model_family,lambda_precipitation,lambda_pet,seed,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_mae_mm,core_test_r_squared,validation_precipitation_violation_fraction,test_precipitation_violation_fraction,validation_pet_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_PET,0.001,0.001,20260808,,480,680,2.8578763008117676,23.86885157081189,24.476983864560417,18.4056484338009,0.9601405300350029,-1.258918993400805,20.44025599453423,16.307344107792296,0.972959317553636,0.052083333333333336,0.04734848484848485,0.3484848484848485,0.4090909090909091,0.0020704278722405434,0.023344209417700768
PINN_P_PET,0.001,0.001,20260809,,531,731,3.039700984954834,25.038740068893464,25.561098859172084,19.25770106460109,0.956531489762744,-0.6513038404060133,21.28177030814294,16.854660034179688,0.970686985018276,0.07102272727272728,0.0634469696969697,0.19696969696969696,0.21212121212121213,0.0032657687552273273,0.00875642616301775
PINN_P_PET,0.001,0.001,20260810,,514,714,2.956085443496704,23.50926939985098,23.931553854147065,16.038935805812027,0.961897145533182,0.28093557646780304,18.366961526639706,13.375157849542026,0.9781666880792825,0.07481060606060606,0.05397727272727273,0.3939393939393939,0.3333333333333333,0.00282735051587224,0.018032042309641838
PINN_P,0.01,0.0,20260806,,835,1035,4.373568534851074,24.44514773007783,25.25549256243465,17.526455503521543,0.9575646877354859,0.03836938106652462,18.844991684419902,14.99767487624596,0.9770154033370032,0.12878787878787878,0.10321969696969698,0.21212121212121213,0.15151515151515152,0.008264284580945969,0.00805598683655262
PINN_P,0.01,0.0,20260807,,493,693,2.868928909301758,23.729125538947322,24.086107290240225,18.064153960256867,0.961403408863158,-2.3198884906190815,18.74271448537792,15.489353048390356,0.9772642143709561,0.05303030303030303,0.04450757575757576,0.4696969696969697,0.3787878787878788,0.0028348208870738745,0.0177558995783329
PINN_P,0.01,0.0,20260808,,480,680,2.7881250381469727,23.867977128306077,24.479554827876452,18.405550407640863,0.9601321562404586,-1.262830792051373,20.444751740448297,16.308383810109106,0.9729474212831748,0.052083333333333336,0.04640151515151515,0.3484848484848485,0.4090909090909091,0.0020555939991027117,0.023734912276268005
PINN_P,0.01,0.0,20260809,,532,732,3.05290150642395,25.03732517892522,25.557056204610685,19.25259676846591,0.9565452383324654,-0.6426447088068182,21.273830507375248,16.846338732489222,0.9707088531317151,0.07102272727272728,0.061553030303030304,0.19696969696969696,0.21212121212121213,0.0032418337650597095,0.008930381387472153
PINN_P,0.01,0.0,20260810,,515,715,2.924572467803955,23.510241376982457,23.929567562524888,16.044883034446023,0.9619034702574563,0.2830163204308712,18.367021255451984,13.380348994814117,0.9781665460764905,0.07481060606060606,0.054924242424242424,0.3939393939393939,0.3484848484848485,0.002830332377925515,0.018457788974046707
PINN_P_PET,0.01,0.01,20260806,,747,947,3.969102382659912,24.677504926935764,25.40391351038555,17.52531016956676,0.9570644562643081,0.08937581380208333,19.441898152496137,15.122561750740841,0.9755362903155614,0.10700757575757576,0.08806818181818182,0.18181818181818182,0.16666666666666666,0.006184867117553949,0.006534812971949577
PINN_P_PET,0.01,0.01,20260807,,496,696,2.8650403022766113,23.72937229380302,24.0825806888226,18.04329796993371,0.9614147103845421,-2.2979995265151514,18.673359698212384,15.440020331021014,0.977432164231697,0.05397727272727273,0.04640151515151515,0.45454545454545453,0.36363636363636365,0.002945348620414734,0.015363289043307304
