configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_lambda10,PINN_P,10.0,0.0,20260809,0,1,20,7,6,72,,251,451,1.7753188610076904,33.831897245533284,45.798972254864694,39.689541286892364,0.5511354781677716,-29.780432807074654,47.0473437096097,0.4700304683100095,0.04600694444444445,1.0,0.001461550360545516,0.11340382695198059
PINN_P_lambda10,PINN_P,10.0,0.0,20260810,0,1,20,7,6,72,,239,439,1.7582728862762451,32.736049705413656,49.893828374271195,42.07187737358941,0.4672818753159741,-37.709348890516495,51.53002348166765,0.36422804468745273,0.005208333333333333,1.0,5.1646449719555676e-05,0.22073356807231903
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260806,0,1,20,7,6,72,,208,408,1.6799352169036865,29.754184934127487,64.14480188700733,57.40796830919054,0.11950528872257815,-54.952003479003906,65.71060871445208,-0.03383603726892659,0.03298611111111111,0.4027777777777778,0.0006957011646591127,0.005607808008790016
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260807,0,1,20,7,6,72,,188,388,1.6060421466827393,30.60389510851232,64.02940653727848,57.31355200873481,0.12267042757631885,-54.836804707845054,64.55149358280894,0.0023153813663170375,0.026909722222222224,0.3055555555555556,0.0007737372070550919,0.004871131852269173
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260808,0,1,20,7,6,72,,157,357,1.4319367408752441,34.29264065153691,66.09786024498919,59.38455454508463,0.06507103161241234,-57.198499043782554,68.00878758194598,-0.1074158909840317,0.011284722222222222,0.3055555555555556,0.0001957751519512385,0.0056984880939126015
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260809,0,1,20,7,6,72,,204,404,1.5700373649597168,33.646593984521395,54.41576529393567,49.43319871690538,0.36634436956205707,-42.76618448893229,55.37500709110281,0.26581031989125903,0.0546875,0.3472222222222222,0.0015044481260702014,0.0041837492026388645
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260810,0,1,20,7,6,72,,214,414,1.611926555633545,31.890203016343417,64.40670153000922,57.60423702663846,0.11230058905048323,-55.824134826660156,64.51326281079515,0.003496793481242211,0.021701388888888888,0.4722222222222222,0.0005169736687093973,0.012108777649700642
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260806,0,1,20,7,6,72,,201,401,1.5824358463287354,29.84632086932754,66.06268264185837,59.360242207845054,0.06606591430173403,-57.05833519829644,67.60469526389593,-0.09429497513516871,0.024305555555555556,0.013888888888888888,0.0004107463173568249,0.00015051533409859985
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260807,0,1,20,7,6,72,,185,385,1.4473605155944824,30.487418225602113,65.59794584282433,58.83639695909288,0.07915974742481302,-56.67633395724826,65.92739324215869,-0.0406687041928786,0.029513888888888888,0.013888888888888888,0.0007778742583468556,1.4875213310006075e-05
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260808,0,1,20,7,6,72,,159,359,1.449763536453247,33.72177448085977,66.73099908432405,60.1504397922092,0.04707423476254491,-58.081695556640625,68.4406527255774,-0.12152503276414928,0.008680555555555556,0.05555555555555555,0.00012293714098632336,0.0005217440775595605
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260809,0,1,20,7,6,72,,201,401,1.6571393013000488,32.28297058001245,56.294557407146,51.01819525824653,0.3218330304089202,-45.54906548394097,57.16119808008229,0.21768198391350702,0.03993055555555555,0.027777777777777776,0.0010538981296122074,0.0003286185092292726
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260810,0,1,20,7,6,72,,207,407,1.6023409366607666,31.897900501334163,67.06144955217394,60.26305219862196,0.03761313136766353,-58.81124793158637,66.98804605174887,-0.07442302422419256,0.020833333333333332,0.2638888888888889,0.0004118121578358114,0.004435176961123943
