grid_id,longitude,latitude,corrected_aet_records,minimum_raw_aet_mm,mean_raw_aet_mm
MY_0p5_5.2500_102.7500,102.75,5.25,0,81.42110889240845,110.27741280104928
MY_0p5_5.2500_103.2500,103.25,5.25,0,83.18384794755416,113.91571489667136
MY_0p5_5.2500_115.2500,115.25,5.25,0,109.18897072213598,132.7101896550052
MY_0p5_5.2500_115.7500,115.75,5.25,0,102.3868376909676,127.18568898763135
MY_0p5_5.2500_116.2500,116.25,5.25,0,97.62229774571672,123.29385444665256
MY_0p5_5.2500_116.7500,116.75,5.25,0,92.75500210629234,122.98266642861559
MY_0p5_5.2500_117.2500,117.25,5.25,0,87.5984614296565,122.14353691107802
MY_0p5_5.2500_117.7500,117.75,5.25,0,83.53359559074279,119.10565988880406
MY_0p5_5.2500_118.2500,118.25,5.25,0,84.39092412571998,118.45653224568458
MY_0p5_5.2500_118.7500,118.75,5.25,0,82.30756378173828,117.93018400904572
MY_0p5_5.2500_119.2500,119.25,5.25,0,76.67680358886719,117.56665187411838
MY_0p5_4.7500_100.7500,100.75,4.75,0,93.63956392489796,129.28176440529276
MY_0p5_4.7500_101.2500,101.25,4.75,0,83.61697554815383,119.3608053721406
MY_0p5_4.7500_101.7500,101.75,4.75,0,91.5914266192724,127.292401925748
MY_0p5_4.7500_102.2500,102.25,4.75,0,87.49984603155228,120.10633714726363
MY_0p5_4.7500_102.7500,102.75,4.75,0,81.53335014877803,114.12016798202987
MY_0p5_4.7500_103.2500,103.25,4.75,0,77.76270378647696,106.6571953938114
MY_0p5_4.7500_103.7500,103.75,4.75,0,64.93598452481356,94.77983488300318
MY_0p5_4.7500_114.2500,114.25,4.75,0,97.38770294189452,126.39750321706136
MY_0p5_4.7500_114.7500,114.75,4.75,0,105.18533193936914,131.97619213938287
MY_0p5_4.7500_115.2500,115.25,4.75,0,105.15762762228648,130.7825558217587
MY_0p5_4.7500_115.7500,115.75,4.75,0,96.27769475058903,122.25350856949201
MY_0p5_4.7500_116.2500,116.25,4.75,0,96.50755414205882,124.71688410333432
MY_0p5_4.7500_116.7500,116.75,4.75,0,91.4898358115667,121.24669046274553
