target,depth_label,maximum_lag_months,configuration,feature_count,test_fold,validation_fold,selected_alpha,test_region_count,test_sample_count,test_rmse_mm,test_mae_mm,test_r_squared
SM_40_100cm_mm,40–100 cm,3,DROP_C1,15,3,4,100.0,6,72,18.92037034553424,15.316342668513933,0.8093298303600825
SM_40_100cm_mm,40–100 cm,3,DROP_C1,15,4,0,30.0,8,96,20.995075287674776,17.84042859152471,0.7657062193758861
SM_40_100cm_mm,40–100 cm,3,DROP_C2,15,0,1,300.0,6,72,46.71664363268905,40.46304865249973,-3.1465042918863366
SM_40_100cm_mm,40–100 cm,3,DROP_C2,15,1,2,0.0,7,84,30.535077339442076,21.769626347065447,0.4452853463519072
SM_40_100cm_mm,40–100 cm,3,DROP_C2,15,2,3,100.0,6,72,21.08488193191345,16.423985725069556,0.6335456954590428
SM_40_100cm_mm,40–100 cm,3,DROP_C2,15,3,4,100.0,6,72,15.730672783265854,13.305714982588073,0.8681991892954761
SM_40_100cm_mm,40–100 cm,3,DROP_C2,15,4,0,1.0,8,96,29.895530336967383,23.206259893278173,0.5249509961229232
SM_40_100cm_mm,40–100 cm,3,DROP_C3,15,0,1,1.0,6,72,14.453451326580455,11.378174319292075,0.6030991936048794
SM_40_100cm_mm,40–100 cm,3,DROP_C3,15,1,2,0.0,7,84,22.623108945071053,18.807896825179817,0.6955078057724291
SM_40_100cm_mm,40–100 cm,3,DROP_C3,15,2,3,30.0,6,72,17.062095396162793,14.382367114196727,0.7600381440852595
SM_40_100cm_mm,40–100 cm,3,DROP_C3,15,3,4,30.0,6,72,16.004649053795298,12.94004635503736,0.8635681406433805
SM_40_100cm_mm,40–100 cm,3,DROP_C3,15,4,0,0.0,8,96,22.26940589693867,18.495703034663958,0.7364013693781681
SM_40_100cm_mm,40–100 cm,3,DROP_C4,15,0,1,10.0,6,72,31.27659968998272,26.490586787190395,-0.8585656914318496
SM_40_100cm_mm,40–100 cm,3,DROP_C4,15,1,2,100.0,7,84,25.9118140259087,18.925921150889867,0.6005455846681111
SM_40_100cm_mm,40–100 cm,3,DROP_C4,15,2,3,30.0,6,72,17.013071404539204,14.35454647645394,0.7614151130135863
SM_40_100cm_mm,40–100 cm,3,DROP_C4,15,3,4,100.0,6,72,17.600402690094498,14.162180144049142,0.8350057931734463
SM_40_100cm_mm,40–100 cm,3,DROP_C4,15,4,0,0.0,8,96,27.917419926714835,23.196937974762488,0.5857367138035231
SM_100_200cm_mm,100–200 cm,1,STATIC_ONLY,3,0,1,300.0,6,72,59.689406206787446,52.72516792254598,-1.8904965355642895
SM_100_200cm_mm,100–200 cm,1,STATIC_ONLY,3,1,2,30.0,7,84,54.76679360141335,36.32684430149703,-0.04688973661111251
SM_100_200cm_mm,100–200 cm,1,STATIC_ONLY,3,2,3,300.0,6,72,44.4150895437437,34.988052936146474,0.25073680137817245
SM_100_200cm_mm,100–200 cm,1,STATIC_ONLY,3,3,4,100.0,6,72,53.57402345607322,43.43613341747145,0.22991114541785862
SM_100_200cm_mm,100–200 cm,1,STATIC_ONLY,3,4,0,0.0,8,96,63.8789102954241,51.817166689038054,0.10932423378978906
SM_100_200cm_mm,100–200 cm,1,FULL,11,0,1,0.0,6,72,38.69195941076908,33.65314147290712,-0.21456114400138193
SM_100_200cm_mm,100–200 cm,1,FULL,11,1,2,300.0,7,84,45.16639722151676,30.34528649936602,0.28797177279648767
SM_100_200cm_mm,100–200 cm,1,FULL,11,2,3,100.0,6,72,43.68652412304485,35.89740376831102,0.2751163542241106
SM_100_200cm_mm,100–200 cm,1,FULL,11,3,4,100.0,6,72,43.048440345078966,33.24787290407243,0.502781643267715
SM_100_200cm_mm,100–200 cm,1,FULL,11,4,0,0.0,8,96,62.93310696105341,46.814696035608506,0.13550400760454728
SM_100_200cm_mm,100–200 cm,1,ONLY_C1,5,0,1,300.0,6,72,64.59273367639848,57.31141504617128,-2.3848955053141916
SM_100_200cm_mm,100–200 cm,1,ONLY_C1,5,1,2,100.0,7,84,49.413424257825355,32.66962435317348,0.14777118734102912
SM_100_200cm_mm,100–200 cm,1,ONLY_C1,5,2,3,100.0,6,72,43.84720614855389,34.5868225394462,0.2697742045459084
SM_100_200cm_mm,100–200 cm,1,ONLY_C1,5,3,4,100.0,6,72,47.56643169859817,36.87430681447898,0.39293742867621895
SM_100_200cm_mm,100–200 cm,1,ONLY_C1,5,4,0,0.0,8,96,61.231970445878225,49.52585592230912,0.1816085025281614
SM_100_200cm_mm,100–200 cm,1,ONLY_C2,5,0,1,300.0,6,72,55.930182377483156,48.8941858746049,-1.5378760486767113
SM_100_200cm_mm,100–200 cm,1,ONLY_C2,5,1,2,10.0,7,84,54.96059872861568,36.638525102645914,-0.054312175526992634
